dataset,augmentation,p,seed,ddr,fold
xes3g5m,attr_mask,0.1,42,0.0,2.0
xes3g5m,attr_mask,0.1,1234,0.0,2.0
xes3g5m,attr_mask,0.2,17,0.0,2.0
xes3g5m,attr_mask,0.2,42,0.0,2.0
xes3g5m,attr_mask,0.2,1234,0.0,2.0
xes3g5m,attr_mask,0.3,17,0.0,2.0
xes3g5m,attr_mask,0.3,42,0.0,2.0
xes3g5m,attr_mask,0.3,1234,0.0,2.0
xes3g5m,edge_drop,0.05,17,0.04366438356164384,2.0
xes3g5m,edge_drop,0.05,42,0.05051369863013699,2.0
xes3g5m,edge_drop,0.05,1234,0.05393835616438356,2.0
xes3g5m,edge_drop,0.1,17,0.09075342465753425,2.0
xes3g5m,edge_drop,0.1,42,0.09332191780821918,2.0
xes3g5m,edge_drop,0.1,1234,0.10102739726027397,2.0
xes3g5m,edge_drop,0.2,17,0.1934931506849315,2.0
xes3g5m,edge_drop,0.2,42,0.2148972602739726,2.0
xes3g5m,edge_drop,0.2,1234,0.20376712328767124,2.0
xes3g5m,edge_drop,0.3,17,0.2962328767123288,2.0
xes3g5m,edge_drop,0.3,42,0.3013698630136986,2.0
xes3g5m,edge_drop,0.3,1234,0.2979452054794521,2.0
xes3g5m,node_drop,0.05,17,0.13356164383561644,2.0
xes3g5m,node_drop,0.05,42,0.0839041095890411,2.0
xes3g5m,node_drop,0.05,1234,0.136986301369863,2.0
xes3g5m,node_drop,0.1,17,0.1875,2.0
xes3g5m,node_drop,0.1,42,0.175513698630137,2.0
xes3g5m,node_drop,0.1,1234,0.24315068493150685,2.0
xes3g5m,node_drop,0.2,17,0.3587328767123288,2.0
xes3g5m,node_drop,0.2,42,0.4417808219178082,2.0
xes3g5m,node_drop,0.2,1234,0.3767123287671233,2.0
xes3g5m,node_drop,0.3,17,0.5042808219178082,2.0
xes3g5m,node_drop,0.3,42,0.5625,2.0
xes3g5m,node_drop,0.3,1234,0.5428082191780822,2.0
xes3g5m,subgraph,0.05,17,0.02226027397260274,2.0
xes3g5m,subgraph,0.05,42,0.023116438356164382,2.0
xes3g5m,subgraph,0.05,1234,0.023972602739726026,2.0
xes3g5m,subgraph,0.1,17,0.06592465753424658,2.0
xes3g5m,subgraph,0.1,42,0.059931506849315065,2.0
xes3g5m,subgraph,0.1,1234,0.05565068493150685,2.0
xes3g5m,subgraph,0.2,17,0.1523972602739726,2.0
xes3g5m,subgraph,0.2,42,0.15753424657534246,2.0
xes3g5m,subgraph,0.2,1234,0.14383561643835616,2.0
xes3g5m,subgraph,0.3,17,0.24914383561643835,2.0
xes3g5m,subgraph,0.3,42,0.2345890410958904,2.0
xes3g5m,subgraph,0.3,1234,0.23972602739726026,2.0
