stratum,n,auc,acc,nll,dataset,model,fold,split_seed
out_of_range,6,0.625,0.6666666666666666,0.6378396567222363,xes3g5m,simplekt,0.0,42.0
very_cold,161,0.8100479511769835,0.8136645962732919,0.4237715244331014,xes3g5m,simplekt,0.0,42.0
warm,17655,0.7897715373764814,0.8048145001416029,0.43103247382819354,xes3g5m,simplekt,0.0,42.0
cold,2592,0.7965952224104398,0.7885802469135802,0.4766521662430013,xes3g5m,akt,0.0,42.0
hot,1902424,0.7066414472495233,0.7940459119523303,0.4811256317464528,xes3g5m,akt,0.0,42.0
out_of_range,6,0.625,0.6666666666666666,0.6371158892822141,xes3g5m,akt,0.0,42.0
very_cold,161,0.8109197907585004,0.8136645962732919,0.45230444119639124,xes3g5m,akt,0.0,42.0
warm,17655,0.7880918160581545,0.8012461059190031,0.4557957102086892,xes3g5m,akt,0.0,42.0
cold,2592,0.7867263473241735,0.7631172839506173,0.4895406729580266,xes3g5m,gkt,0.0,42.0
hot,1902424,0.6059950586666701,0.7939681164661505,0.49741555653398495,xes3g5m,gkt,0.0,42.0
out_of_range,6,0.5,0.6666666666666666,0.6405261794850994,xes3g5m,gkt,0.0,42.0
very_cold,161,0.8215998256320837,0.8074534161490683,0.4445215019347755,xes3g5m,gkt,0.0,42.0
warm,17655,0.7494609312027943,0.7856131407533277,0.4680643391141677,xes3g5m,gkt,0.0,42.0
cold,2592,0.7963772037141602,0.7719907407407407,0.4698612261511304,xes3g5m,gikt,0.0,42.0
hot,1902424,0.7088594000179819,0.7941205535674487,0.47401890730954854,xes3g5m,gikt,0.0,42.0
out_of_range,6,0.625,0.6666666666666666,0.6352758232751236,xes3g5m,gikt,0.0,42.0
very_cold,161,0.8120095902353966,0.8074534161490683,0.4357332665395412,xes3g5m,gikt,0.0,42.0
warm,17655,0.7826480449741768,0.7981308411214953,0.44666285849335247,xes3g5m,gikt,0.0,42.0
cold,3170,0.7948247739121866,0.7965299684542587,0.4490054240549498,xes3g5m,bkt,1.0,43.0
hot,1899619,0.6153075926041631,0.7952657875079161,0.49257323072193115,xes3g5m,bkt,1.0,43.0
out_of_range,252,0.4997754539038943,0.5634920634920635,0.7019739186544087,xes3g5m,bkt,1.0,43.0
very_cold,180,0.8276515151515151,0.7555555555555555,0.4619712535219522,xes3g5m,bkt,1.0,43.0
warm,19712,0.7554774260075112,0.8067674512987013,0.4433214798417108,xes3g5m,bkt,1.0,43.0
cold,3170,0.8023747788387804,0.7681388012618297,0.4674969980985574,xes3g5m,dkt,1.0,43.0
hot,1899619,0.7082840680126962,0.7948099066181166,0.4801460022382347,xes3g5m,dkt,1.0,43.0
out_of_range,252,0.4997754539038943,0.43253968253968256,0.7482254962740713,xes3g5m,dkt,1.0,43.0
very_cold,180,0.8156565656565656,0.7333333333333333,0.49537852318432385,xes3g5m,dkt,1.0,43.0
warm,19712,0.7799844338240096,0.7984476461038961,0.4519592270719229,xes3g5m,dkt,1.0,43.0
cold,3170,0.8036139242675441,0.8050473186119874,0.4421485227146461,xes3g5m,simplekt,1.0,43.0
hot,1899619,0.7173947186356608,0.7967687204644721,0.46560229982703355,xes3g5m,simplekt,1.0,43.0
out_of_range,252,0.4997754539038943,0.5634920634920635,0.7018155646740926,xes3g5m,simplekt,1.0,43.0
very_cold,180,0.8095012626262627,0.7555555555555555,0.468496314349077,xes3g5m,simplekt,1.0,43.0
warm,19712,0.7839679929048611,0.8073762175324676,0.430516392523129,xes3g5m,simplekt,1.0,43.0
cold,3170,0.8029793575721746,0.7905362776025237,0.46754929738313655,xes3g5m,akt,1.0,43.0
hot,1899619,0.7060356016067371,0.7952821065697911,0.4801284013046494,xes3g5m,akt,1.0,43.0
out_of_range,252,0.4997754539038943,0.43253968253968256,0.7145770183027117,xes3g5m,akt,1.0,43.0
very_cold,180,0.8128156565656566,0.7555555555555555,0.49107927727890544,xes3g5m,akt,1.0,43.0
warm,19712,0.7820374681652718,0.802049512987013,0.4547126929629155,xes3g5m,akt,1.0,43.0
cold,3170,0.7917895637608332,0.7728706624605678,0.4766771948852636,xes3g5m,gkt,1.0,43.0
hot,1899619,0.6055726955837885,0.7949952069336009,0.4961713085979583,xes3g5m,gkt,1.0,43.0
out_of_range,252,0.4997754539038943,0.43253968253968256,0.7813904011928977,xes3g5m,gkt,1.0,43.0
very_cold,180,0.8248895202020202,0.7555555555555555,0.4989025453143421,xes3g5m,gkt,1.0,43.0
warm,19712,0.7421528249192457,0.7889103084415584,0.4645727794481313,xes3g5m,gkt,1.0,43.0
cold,3170,0.80316678233452,0.785173501577287,0.45734628691281975,xes3g5m,gikt,1.0,43.0
hot,1899619,0.7088167107658258,0.795254732659549,0.47274765259457846,xes3g5m,gikt,1.0,43.0
out_of_range,252,0.4997754539038943,0.43253968253968256,0.7401208605913429,xes3g5m,gikt,1.0,43.0
very_cold,180,0.8085542929292929,0.7555555555555555,0.48874996675148435,xes3g5m,gikt,1.0,43.0
warm,19712,0.7764333562649682,0.7995637175324676,0.4444478538927528,xes3g5m,gikt,1.0,43.0
cold,2806,0.8014363914044462,0.7861724875267284,0.46130053079127364,xes3g5m,bkt,2.0,44.0
hot,1897786,0.6152093058675947,0.7948472588584804,0.4931057271648312,xes3g5m,bkt,2.0,44.0
out_of_range,8,,1.0,0.10439096943909729,xes3g5m,bkt,2.0,44.0
very_cold,164,0.8303571428571429,0.75,0.5317053905194552,xes3g5m,bkt,2.0,44.0
warm,19461,0.7576063643792748,0.8064333795796722,0.4434464956501758,xes3g5m,bkt,2.0,44.0
cold,2806,0.808548661788602,0.7508909479686386,0.48424643234578396,xes3g5m,dkt,2.0,44.0
hot,1897786,0.7084476078297881,0.7943946261591138,0.48058804633384633,xes3g5m,dkt,2.0,44.0
out_of_range,8,,1.0,0.14299655743460077,xes3g5m,dkt,2.0,44.0
very_cold,164,0.8337466931216931,0.6585365853658537,0.5694181923578749,xes3g5m,dkt,2.0,44.0
warm,19461,0.7824275113634854,0.7980576537690767,0.4517121299239822,xes3g5m,dkt,2.0,44.0
cold,2806,0.8106802913813259,0.7915181753385603,0.45457867153404746,xes3g5m,simplekt,2.0,44.0
hot,1897786,0.7175348237183437,0.796250999849298,0.4660057505047641,xes3g5m,simplekt,2.0,44.0
out_of_range,8,,1.0,0.09835007006634083,xes3g5m,simplekt,2.0,44.0
very_cold,164,0.83192791005291,0.75,0.5289317532761256,xes3g5m,simplekt,2.0,44.0
warm,19461,0.7865885209005606,0.8076152304609219,0.4302089424274185,xes3g5m,simplekt,2.0,44.0
cold,2806,0.809671463321708,0.7719173200285103,0.4799275458101726,xes3g5m,akt,2.0,44.0
hot,1897786,0.7059529247320611,0.7948794015763632,0.48057092203958607,xes3g5m,akt,2.0,44.0
out_of_range,8,,1.0,0.18180271050041208,xes3g5m,akt,2.0,44.0
very_cold,164,0.8325892857142857,0.6585365853658537,0.5475169391763739,xes3g5m,akt,2.0,44.0
warm,19461,0.784574413234851,0.8025281331894558,0.45439392919534044,xes3g5m,akt,2.0,44.0
